"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
603269,"Açúcar cristal comum","n_combinacoes_unidade","460235","BISCOITO, SABOR: SALGADO , CARACTERÍSTICAS ADICIONAIS: INTEGRAL E SEM RECHEIO , TIPO: CREAM CRACKER ",0.293224527678313
603269,"Açúcar cristal comum","n_combinacoes_unidade","462695","GELÉIA, TIPO: FRUTAS , SABOR: MORANGO , PRAZO VALIDADE MÍNIMO: 12 MESES ",0.219993747465487
603269,"Açúcar cristal comum","n_combinacoes_unidade","459667","MOLHO DE MESA, TIPO: MOSTARDA , COMPOSIÇÃO: TRADICIONAL , APRESENTAÇÃO: CREME ",0.15397428704808
603269,"Açúcar cristal comum","n_combinacoes_unidade","462689","GELÉIA, TIPO: FRUTAS , SABOR: VARIADO ",0.150230660714807
603269,"Açúcar cristal comum","n_combinacoes_unidade","217132","BISCOITO, APRESENTAÇÃO: RETANGULAR , SABOR: MAIZENA , CLASSIFICAÇÃO: DOCE , CARACTERÍSTICAS ADICIONAIS: SEM RECHEIO ",0.099142601618409
603269,"Açúcar cristal comum","n_combinacoes_unidade","445479","ÁGUA MINERAL NATURAL, TIPO: COM GÁS , MATERIAL EMBALAGEM: PLÁSTICO , TIPO EMBALAGEM: DESCARTÁVEL ",0.0834341754749047
603269,"Açúcar cristal comum","median_preco","463839","VERDURA IN NATURA, TIPO: REPOLHO BRANCO / VERDE ",0.179336427997905
603269,"Açúcar cristal comum","median_preco","445479","ÁGUA MINERAL NATURAL, TIPO: COM GÁS , MATERIAL EMBALAGEM: PLÁSTICO , TIPO EMBALAGEM: DESCARTÁVEL ",0.151867770143033
603269,"Açúcar cristal comum","median_preco","242454","MISTURA ALIMENTÍCIA, INGREDIENTES: FARINHA DE TRIGO, SAL, ESTABILIZANTE ETXXV, ENZI - , SABOR: NATURAL , APLICAÇÃO: PÃO FRANCÊS ",0.131788687393705
603269,"Açúcar cristal comum","median_preco","217096","VINAGRE, MATÉRIA-PRIMA: ÁLCOOL CANA DE AÇÚCAR , TIPO: NEUTRO , ACIDEZ: 4,20 PER, ASPECTO FÍSICO: LÍQUIDO , ASPECTO VISUAL: LÍMPIDO E SEM DEPÓSITOS ",0.114633578585331
